,아파트코드,단지명,시군구,주소.읍면동.,kapt도로명주소,세대타입.분양형태.,전용면적(㎡),계약년월,층,건축년도,주차대수,좌표X,좌표Y,범죄율,건물연식,대규모점포_거리,버스정류장_거리,지하철역_거리,학교_거리,유치원_거리,병원_거리,거래금액(만원),Unnamed: 0,년도,월,주택구매력지수,RIR,LIR
34,A10026849,묵정,서울특별시 중구 묵정동,묵정동,서울특별시 중구 서애로1길 34,분양,52.46,201707.0,1.0,1981.0,45.0,127.0000706,37.56070587,2.590409939,2.0,0.508040374,0.186428735,0.513894436,0.179712989,0.18415205,0.047964556,26429.0,66,2017,7,53.56659507,7.99,3.47
35,A10026849,묵정,서울특별시 중구 묵정동,묵정동,서울특별시 중구 서애로1길 34,분양,52.46,201707.0,1.0,1981.0,45.0,127.0000706,37.56070587,2.590409939,2.0,0.508040374,0.186428735,0.513894436,0.179712989,0.18415205,0.047964556,26429.0,66,2017,7,53.56659507,7.99,3.47
36,A10027364,덕수궁롯데캐슬,서울특별시 중구 순화동,순화동,서울특별시 중구 서소문로9길 28,분양,82.3212,201608.0,18.0,2016.0,363.0,126.9703537,37.56358693,2.590409939,5.0,0.533117262,0.123563127,0.407643907,0.229992027,0.547461516,0.029955826,89000.0,55,2016,8,62.08258035,7.04,3.06
37,A10027364,덕수궁롯데캐슬,서울특별시 중구 순화동,순화동,서울특별시 중구 서소문로9길 28,분양,82.3212,201609.0,13.0,2016.0,363.0,126.9703537,37.56358693,2.590409939,5.0,0.533117262,0.123563127,0.407643907,0.229992027,0.547461516,0.029955826,81000.0,56,2016,9,60.22238992,7.56,3.24
38,A10027364,덕수궁롯데캐슬,서울특별시 중구 순화동,순화동,서울특별시 중구 서소문로9길 28,분양,82.3212,201609.0,5.0,2016.0,363.0,126.9703537,37.56358693,2.590409939,5.0,0.533117262,0.123563127,0.407643907,0.229992027,0.547461516,0.029955826,78000.0,56,2016,9,60.22238992,7.56,3.24
39,A10027364,덕수궁롯데캐슬,서울특별시 중구 순화동,순화동,서울특별시 중구 서소문로9길 28,분양,82.3212,201609.0,17.0,2016.0,363.0,126.9703537,37.56358693,2.590409939,5.0,0.533117262,0.123563127,0.407643907,0.229992027,0.547461516,0.029955826,85000.0,56,2016,9,60.22238992,7.56,3.24
40,A10027364,덕수궁롯데캐슬,서울특별시 중구 순화동,순화동,서울특별시 중구 서소문로9길 28,분양,56.2897,201610.0,3.0,2016.0,363.0,126.9703537,37.56358693,2.590409939,5.0,0.533117262,0.123563127,0.407643907,0.229992027,0.547461516,0.029955826,57000.0,57,2016,10,57.08210592,7.44,3.14
41,A10027364,덕수궁롯데캐슬,서울특별시 중구 순화동,순화동,서울특별시 중구 서소문로9길 28,분양,82.3212,201610.0,18.0,2016.0,363.0,126.9703537,37.56358693,2.590409939,5.0,0.533117262,0.123563127,0.407643907,0.229992027,0.547461516,0.029955826,83700.0,57,2016,10,57.08210592,7.44,3.14
42,A10027364,덕수궁롯데캐슬,서울특별시 중구 순화동,순화동,서울특별시 중구 서소문로9길 28,분양,56.2897,201610.0,7.0,2016.0,363.0,126.9703537,37.56358693,2.590409939,5.0,0.533117262,0.123563127,0.407643907,0.229992027,0.547461516,0.029955826,55000.0,57,2016,10,57.08210592,7.44,3.14
43,A10027364,덕수궁롯데캐슬,서울특별시 중구 순화동,순화동,서울특별시 중구 서소문로9길 28,분양,117.7748,201610.0,21.0,2016.0,363.0,126.9703537,37.56358693,2.590409939,5.0,0.533117262,0.123563127,0.407643907,0.229992027,0.547461516,0.029955826,109000.0,57,2016,10,57.08210592,7.44,3.14
44,A10027364,덕수궁롯데캐슬,서울특별시 중구 순화동,순화동,서울특별시 중구 서소문로9길 28,분양,117.7748,201610.0,22.0,2016.0,363.0,126.9703537,37.56358693,2.590409939,5.0,0.533117262,0.123563127,0.407643907,0.229992027,0.547461516,0.029955826,114000.0,57,2016,10,57.08210592,7.44,3.14
45,A10027364,덕수궁롯데캐슬,서울특별시 중구 순화동,순화동,서울특별시 중구 서소문로9길 28,분양,31.7571,201611.0,10.0,2016.0,363.0,126.9703537,37.56358693,2.590409939,5.0,0.533117262,0.123563127,0.407643907,0.229992027,0.547461516,0.029955826,33500.0,58,2016,11,55.53607161,7.64,3.44
46,A10027364,덕수궁롯데캐슬,서울특별시 중구 순화동,순화동,서울특별시 중구 서소문로9길 28,분양,116.5445,201612.0,12.0,2016.0,363.0,126.9703537,37.56358693,2.590409939,5.0,0.533117262,0.123563127,0.407643907,0.229992027,0.547461516,0.029955826,90000.0,59,2016,12,54.94691069,7.85,3.58
47,A10027364,덕수궁롯데캐슬,서울특별시 중구 순화동,순화동,서울특별시 중구 서소문로9길 28,분양,31.7571,201612.0,8.0,2016.0,363.0,126.9703537,37.56358693,2.590409939,5.0,0.533117262,0.123563127,0.407643907,0.229992027,0.547461516,0.029955826,35800.0,59,2016,12,54.94691069,7.85,3.58
48,A10027364,덕수궁롯데캐슬,서울특별시 중구 순화동,순화동,서울특별시 중구 서소문로9길 28,분양,56.2897,201612.0,3.0,2016.0,363.0,126.9703537,37.56358693,2.590409939,5.0,0.533117262,0.123563127,0.407643907,0.229992027,0.547461516,0.029955826,53000.0,59,2016,12,54.94691069,7.85,3.58
49,A10027364,덕수궁롯데캐슬,서울특별시 중구 순화동,순화동,서울특별시 중구 서소문로9길 28,분양,56.2897,201703.0,10.0,2016.0,363.0,126.9703537,37.56358693,2.590409939,5.0,0.533117262,0.123563127,0.407643907,0.229992027,0.547461516,0.029955826,53500.0,62,2017,3,56.04806294,7.48,3.45
50,A10024756,순화동더샵,서울특별시 중구 순화동,순화동,서울특별시 중구 칠패로 27,분양,84.9,201610.0,14.0,2007.0,194.0,126.971987,37.559937,2.590409939,2.0,0.133059763,0.075284573,0.456351957,0.557222635,0.39338589,0.098933127,64500.0,57,2016,10,57.08210592,7.44,3.14
