,var1(t-1),var2(t-1),var3(t-1),var4(t-1),var5(t-1),var6(t-1),var7(t-1),var8(t-1),var9(t-1),var10(t-1),var11(t-1),var12(t-1),var13(t-1),var14(t-1),var15(t-1),var1(t),var2(t),var3(t),var4(t),var5(t),var6(t),var7(t),var8(t),var9(t),var10(t),var11(t),var12(t),var13(t),var14(t),var15(t)
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9544275807382985,0.21951219512195097,0.028089887640449618,0.0,0.023255813953488413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9518281273616849,0.19105691056910556,0.0393258426966292,0.0,0.023255813953488413
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9518281273616849,0.19105691056910556,0.0393258426966292,0.0,0.023255813953488413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.1382113821138211,0.08426966292134841,0.0,0.09302325581395354
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.1382113821138211,0.08426966292134841,0.0,0.09302325581395354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9381877943584696,0.0,0.0,0.0,0.08682170542635659
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9381877943584696,0.0,0.0,0.0,0.08682170542635659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8731120624995785,0.17073170731707288,0.07865168539325862,0.0,0.11534883720930234
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8731120624995785,0.17073170731707288,0.07865168539325862,0.0,0.11534883720930234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8927322783316864,0.25609756097560954,0.07865168539325862,0.0,0.11627906976744184
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8927322783316864,0.25609756097560954,0.07865168539325862,0.0,0.11627906976744184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7775201161106853,0.37804878048780477,0.061797752808988804,0.0,0.09488372093023256
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7775201161106853,0.37804878048780477,0.061797752808988804,0.0,0.09488372093023256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7592845101910297,0.42682926829268286,0.16853932584269682,0.0,0.14418604651162792
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7592845101910297,0.42682926829268286,0.16853932584269682,0.0,0.14418604651162792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7494706623666911,0.4471544715447151,0.10674157303370779,0.0,0.08139534883720934
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7494706623666911,0.4471544715447151,0.10674157303370779,0.0,0.08139534883720934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.777823702572668,0.34552845528455256,0.1348314606741574,0.0,0.09333333333333338
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.777823702572668,0.34552845528455256,0.1348314606741574,0.0,0.09333333333333338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7096036214101431,0.2601626016260159,0.1797752808988764,0.0,0.11860465116279073
