계약년월,계약년월,건축년도,주차대수,범죄율,건물연식,대규모점포_거리,버스정류장_거리,지하철역_거리,학교_거리,유치원_거리,병원_거리,주택구매력지수,RIR,LIR,area,price
2002,201705.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,55.13683799,7.22,3.28,85.0,69785.71428571429
2003,201706.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,54.01512115,7.7,3.39,85.0,76000.0
2004,201706.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,54.01512115,7.7,3.39,85.0,76000.0
2005,201706.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,54.01512115,7.7,3.39,85.0,76000.0
2006,201706.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,54.01512115,7.7,3.39,85.0,76000.0
2007,201707.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,53.56659507,7.99,3.47,85.0,74000.0
2008,201707.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,53.56659507,7.99,3.47,85.0,74000.0
2009,201707.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,53.56659507,7.99,3.47,85.0,74000.0
3972,201601.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,62.88633235,7.25,2.88,85.0,61250.0
3973,201601.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,62.88633235,7.25,2.88,85.0,61250.0
3974,201602.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,63.66920628,7.0,2.93,85.0,62533.333333333336
3975,201602.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,63.66920628,7.0,2.93,85.0,62533.333333333336
3976,201602.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,63.66920628,7.0,2.93,85.0,62533.333333333336
3977,201604.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,61.78553798,6.79,3.01,85.0,65250.0
3978,201604.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,61.78553798,6.79,3.01,85.0,65250.0
3979,201605.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,61.67715614,6.75,2.87,85.0,65800.0
3980,201606.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,61.71585154,6.8,2.98,85.0,70000.0
3981,201607.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,63.22991644,6.97,3.04,85.0,70500.0
3982,201607.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,63.22991644,6.97,3.04,85.0,70500.0
5230,201904.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,43.2518533,7.73,3.36,85.0,104700.0
5231,201906.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,43.58133006,7.76,3.55,85.0,96416.66666666667
5232,201906.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,43.58133006,7.76,3.55,85.0,96416.66666666667
5233,201906.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,43.58133006,7.76,3.55,85.0,96416.66666666667
5234,201907.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,44.25868378,7.89,3.77,85.0,98166.66666666667
5235,201907.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,44.25868378,7.89,3.77,85.0,98166.66666666667
5236,201907.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,44.25868378,7.89,3.77,85.0,98166.66666666667
6102,202011.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,43.78740581,8.61,4.46,85.0,145000.0
6103,202101.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,42.19221847,8.47,4.47,85.0,160000.0
7364,201204.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,51.74848305,7.84,3.57,85.0,66200.0
7365,201205.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,52.02838198,8.12,3.7,85.0,64300.0
7992,201305.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,62.21453914,7.52,3.69,85.0,53166.666666666664
7993,201305.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,62.21453914,7.52,3.69,85.0,53166.666666666664
7994,201305.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,62.21453914,7.52,3.69,85.0,53166.666666666664
7995,201306.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,62.62567522,7.26,3.64,85.0,52500.0
7996,201308.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,65.00143854,6.73,3.36,85.0,53000.0
7997,201310.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,64.42806746,6.49,3.26,85.0,57500.0
7998,201311.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,64.61520207,6.41,3.14,85.0,59000.0
7999,201312.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,64.76702018,6.82,3.13,85.0,53900.0
9253,201402.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,66.22744518,6.51,2.7,85.0,58000.0
9254,201408.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,67.88268517,7.38,2.86,85.0,56500.0
10653,201501.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,68.54552893,6.69,2.74,85.0,55000.0
10654,201502.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,68.47375376,6.62,2.76,85.0,55000.0
10655,201503.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,69.80385815,6.49,2.84,85.0,62500.0
10656,201503.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,69.80385815,6.49,2.84,85.0,62500.0
10657,201504.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,68.0971218,6.15,2.69,85.0,61833.333333333336
10658,201504.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,68.0971218,6.15,2.69,85.0,61833.333333333336
10659,201504.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,68.0971218,6.15,2.69,85.0,61833.333333333336
10660,201505.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,66.30027414,6.57,2.83,85.0,64900.0
10661,201509.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,66.84202047,6.78,2.83,85.0,65000.0
10662,201511.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,63.66082376,7.08,2.8,85.0,62700.0
10663,201512.0,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,63.15730878,7.2,2.99,85.0,68000.0
